squadra,nome,tipo,priorita
Atalanta,Scamacca,RIGORI,1
Atalanta,Samardzic,RIGORI,2
Atalanta,Samardzic,PUNIZIONI,1
Atalanta,Gaetano,PUNIZIONI,2
Atalanta,Samardzic,CORNER,1
Atalanta,Gaetano,CORNER,2
Bologna,Orsolini,RIGORI,1
Bologna,Dovbyk,RIGORI,2
Bologna,Orsolini,PUNIZIONI,1
Bologna,Bernardeschi,PUNIZIONI,2
Bologna,Orsolini,CORNER,1
Bologna,Bernardeschi,CORNER,2
Cagliari,Fazzini,RIGORI,1
Cagliari,Mina,RIGORI,2
Cagliari,Maldini,PUNIZIONI,1
Cagliari,Fazzini,PUNIZIONI,2
Cagliari,Fazzini,CORNER,1
Cagliari,Obert,CORNER,2
Como,Da Cunha,RIGORI,1
Como,Nico Paz,RIGORI,2
Como,Nico Paz,PUNIZIONI,1
Como,Milla,PUNIZIONI,2
Como,Milla,CORNER,1
Como,Baturina,CORNER,2
Fiorentina,Kean,RIGORI,1
Fiorentina,Gudmundsson,RIGORI,2
Fiorentina,Gudmundsson,PUNIZIONI,1
Fiorentina,Mastantuono,PUNIZIONI,2
Fiorentina,Gudmundsson,CORNER,1
Fiorentina,Mastantuono,CORNER,2
Frosinone,Schmid,RIGORI,1
Frosinone,Calò,RIGORI,2
Frosinone,Calò,PUNIZIONI,1
Frosinone,Ghedjemis,PUNIZIONI,2
Frosinone,Calò,CORNER,1
Frosinone,Ghedjemis,CORNER,2
Genoa,Colombo,RIGORI,1
Genoa,Messias,RIGORI,2
Genoa,Baldanzi,PUNIZIONI,1
Genoa,Messias,PUNIZIONI,2
Genoa,Mitaj,CORNER,1
Genoa,Baldanzi,CORNER,2
Inter,Calhanoglu,RIGORI,1
Inter,Zielinski,RIGORI,2
Inter,Calhanoglu,PUNIZIONI,1
Inter,Dimarco,PUNIZIONI,2
Inter,Calhanoglu,CORNER,1
Inter,Dimarco,CORNER,2
Juventus,Kolo Muani,RIGORI,1
Juventus,Locatelli,RIGORI,2
Juventus,Yildiz,RIGORI,3
Juventus,Yildiz,PUNIZIONI,1
Juventus,Cambiaso,PUNIZIONI,2
Juventus,Yildiz,CORNER,1
Juventus,Cambiaso,CORNER,2
Lazio,Zaccagni,RIGORI,1
Lazio,Kenneth Taylor,RIGORI,2
Lazio,Pinamonti,RIGORI,3
Lazio,Zaccagni,PUNIZIONI,1
Lazio,Cataldi,PUNIZIONI,2
Lazio,Zaccagni,CORNER,1
Lazio,Taylor,CORNER,2
Lecce,Geubbels,RIGORI,1
Lecce,Stulic,RIGORI,2
Lecce,Gallo,PUNIZIONI,1
Lecce,Pierotti,PUNIZIONI,2
Lecce,Gallo,CORNER,1
Lecce,Pierotti,CORNER,2
Milan,Gonçalo Ramos,RIGORI,1
Milan,Pulisic,RIGORI,2
Milan,Leao,RIGORI,3
Milan,Modric,PUNIZIONI,1
Milan,Pulisic,PUNIZIONI,2
Milan,Modric,CORNER,1
Milan,Pulisic,CORNER,2
Monza,Pessina,RIGORI,1
Monza,Cutrone,RIGORI,2
Monza,Colpani,PUNIZIONI,1
Monza,Pessina,PUNIZIONI,2
Monza,Pessina,CORNER,1
Monza,Colpani,CORNER,2
Napoli,De Bruyne,RIGORI,1
Napoli,Højlund,RIGORI,2
Napoli,De Bruyne,PUNIZIONI,1
Napoli,Politano,PUNIZIONI,2
Napoli,De Bruyne,CORNER,1
Napoli,Politano,CORNER,2
Parma,Tourè E.,RIGORI,1
Parma,Elphege,RIGORI,2
Parma,Bernabé,PUNIZIONI,1
Parma,Nicolussi Caviglia,PUNIZIONI,2
Parma,Bernabé,CORNER,1
Parma,Nicolussi Caviglia,CORNER,2
Roma,Dybala,RIGORI,1
Roma,Malen,RIGORI,2
Roma,Dybala,PUNIZIONI,1
Roma,Soulé,PUNIZIONI,2
Roma,Dybala,CORNER,1
Roma,Soulé,CORNER,2
Sassuolo,Berardi,RIGORI,1
Sassuolo,Laurienté,RIGORI,2
Sassuolo,Berardi,PUNIZIONI,1
Sassuolo,Laurienté,PUNIZIONI,2
Sassuolo,Berardi,CORNER,1
Sassuolo,Laurienté,CORNER,2
Torino,Vlasic,RIGORI,1
Torino,Kulenovic,RIGORI,2
Torino,Vlasic,PUNIZIONI,1
Torino,Fitz-Jim,PUNIZIONI,2
Torino,Vlasic,CORNER,1
Torino,Fitz-Jim,CORNER,2
Udinese,Davis,RIGORI,1
Udinese,Solet,RIGORI,2
Udinese,Zaniolo,PUNIZIONI,1
Udinese,Ekkelenkamp,PUNIZIONI,2
Udinese,Zaniolo,CORNER,1
Udinese,Vojvoda,CORNER,2
Venezia,Busio,RIGORI,1
Venezia,Rrahmani Al.,RIGORI,2
Venezia,Akor Adams,RIGORI,3
Venezia,Busio,PUNIZIONI,1
Venezia,Basic,PUNIZIONI,2
Venezia,Busio,CORNER,1
Venezia,Kike Pérez,CORNER,2
